timestep,decision,prb_decision,policy_decision
1,"(36, 3, 11, 0, 1, 0)","[36, 3, 11]","[0, 1, 0]"
2,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
3,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
4,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
5,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
6,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
7,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
8,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
9,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
10,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
11,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
12,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
13,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
14,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
15,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
16,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
17,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
18,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
19,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
20,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
21,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
22,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
23,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
24,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
25,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
26,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
27,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
28,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
29,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
30,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
31,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
32,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
33,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
34,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
35,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
36,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
37,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
38,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
39,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
40,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
41,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
42,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
43,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
44,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
45,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
46,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
47,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
48,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
49,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
50,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
51,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
52,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
53,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
54,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
55,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
56,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
57,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
58,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
59,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
60,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
61,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
62,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
63,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
64,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
65,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
66,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
67,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
68,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
69,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
70,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
71,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
72,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
73,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
74,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
75,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
76,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
77,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
78,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
79,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
80,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
81,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
82,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
83,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
84,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
85,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
86,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
87,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
88,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
89,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
90,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
91,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
92,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
93,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
94,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
95,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
96,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
97,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
98,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
99,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
100,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
101,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
102,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
103,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
104,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
105,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
106,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
107,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
108,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
109,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
110,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
111,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
112,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
113,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
114,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
115,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
116,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
117,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
118,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
119,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
120,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
121,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
122,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
123,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
124,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
125,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
126,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
127,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
128,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
129,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
130,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
131,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
132,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
133,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
134,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
135,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
136,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
137,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
138,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
139,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
140,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
141,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
142,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
143,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
144,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
145,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
146,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
147,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
148,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
149,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
150,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
151,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
152,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
153,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
154,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
155,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
