timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,6.0,0.0
1,1,0.005,3.0,0.0
1,2,0.006666666666666667,10.0,0.0
2,0,1.05,44.0,0.0
2,1,0.06,10.0,0.0
2,2,0.09,22.5,0.0
3,0,2.14,104.75,0.0
3,1,0.14,26.5,0.0
3,2,0.22499999999999998,43.75,0.0
4,0,2.1475,102.25,0.0
4,1,0.185,35.0,0.0
4,2,0.2425,68.5,0.0
5,0,2.1475,95.5,0.0
5,1,0.15500000000000003,29.0,0.0
5,2,0.235,69.5,39.5
6,0,2.1375,89.0,0.0
6,1,0.185,35.5,0.0
6,2,0.24,42.75,0.0
7,0,2.145,89.5,0.0
7,1,0.14,30.0,0.0
7,2,0.2275,73.25,0.0
8,0,2.1675,94.25,0.0
8,1,0.16999999999999998,33.5,0.0
8,2,0.28500000000000003,49.5,157.5
9,0,2.1,121.0,534.75
9,1,0.22,42.5,0.0
9,2,0.205,60.75,0.0
10,0,2.1500000000000004,103.0,366.5
10,1,0.235,45.0,0.0
10,2,0.2425,58.75,0.0
11,0,2.1500000000000004,94.5,0.0
11,1,0.125,24.5,0.0
11,2,0.2575,51.75,0.0
12,0,2.1425,89.5,0.0
12,1,0.195,36.5,0.0
12,2,0.255,46.0,0.0
13,0,2.135,89.0,0.0
13,1,0.175,34.0,0.0
13,2,0.20500000000000002,52.75,32.5
14,0,2.1500000000000004,89.5,0.0
14,1,0.16999999999999998,33.5,0.0
14,2,0.21500000000000002,48.0,4.5
15,0,2.1475,106.0,0.0
15,1,0.195,37.0,0.0
15,2,0.24,42.5,0.0
16,0,2.1375,89.0,0.0
16,1,0.17,32.0,0.0
16,2,0.235,42.0,0.0
17,0,2.1500000000000004,94.75,0.0
17,1,0.145,28.0,0.0
17,2,0.23,40.75,0.0
18,0,2.1500000000000004,89.5,0.0
18,1,0.16,31.0,0.0
18,2,0.21000000000000002,37.5,0.0
19,0,2.1475,89.5,0.0
19,1,0.165,32.0,0.0
19,2,0.22749999999999998,47.75,0.0
20,0,2.1375,95.75,0.0
20,1,0.175,34.0,0.0
20,2,0.22999999999999998,47.25,79.0
21,0,2.1500000000000004,111.75,202.25
21,1,0.175,34.0,0.0
21,2,0.23,59.25,104.75
22,0,2.1475,95.75,41.25
22,1,0.18,34.5,0.0
22,2,0.2,34.75,0.0
23,0,2.14,98.5,0.0
23,1,0.185,35.0,0.0
23,2,0.21,48.5,0.0
24,0,2.135,95.25,0.0
24,1,0.18,34.5,0.0
24,2,0.215,62.0,0.0
25,0,2.145,109.75,0.0
25,1,0.16999999999999998,33.0,0.0
25,2,0.20500000000000002,38.75,0.0
26,0,2.1500000000000004,90.0,366.5
26,1,0.16,30.0,0.0
26,2,0.28500000000000003,55.25,0.0
27,0,2.1375,94.5,0.0
27,1,0.185,34.5,0.0
27,2,0.2175,45.0,0.0
28,0,2.1550000000000002,104.25,0.0
28,1,0.165,31.5,0.0
28,2,0.22999999999999998,40.5,0.0
29,0,2.1475,89.5,0.0
29,1,0.13,25.5,0.0
29,2,0.245,43.25,39.5
30,0,2.1500000000000004,89.5,0.0
30,1,0.165,32.5,0.0
30,2,0.2325,50.25,0.0
31,0,2.1375,89.0,0.0
31,1,0.215,41.0,0.0
31,2,0.175,32.0,0.0
32,0,2.1500000000000004,95.75,0.0
32,1,0.185,35.5,0.0
32,2,0.2275,47.0,0.0
33,0,2.1475,89.5,0.0
33,1,0.15,29.5,0.0
33,2,0.24,44.5,1.0
34,0,2.1475,106.0,40.75
34,1,0.22,41.0,0.0
34,2,0.265,62.75,0.0
35,0,2.1375,89.0,0.0
35,1,0.185,35.5,0.0
35,2,0.22,38.75,0.0
36,0,2.145,103.75,366.5
36,1,0.14500000000000002,28.5,0.0
36,2,0.2225,54.5,0.0
37,0,2.1500000000000004,101.75,327.0
37,1,0.15000000000000002,29.0,0.0
37,2,0.22749999999999998,45.75,9.75
38,0,2.1375,89.0,0.0
38,1,0.14500000000000002,28.0,0.0
38,2,0.265,54.0,0.0
39,0,2.145,96.0,0.0
39,1,0.185,35.0,0.0
39,2,0.2275,58.25,18.25
40,0,2.1500000000000004,89.5,0.0
40,1,0.14,27.5,0.0
40,2,0.255,57.5,0.0
41,0,2.1375,94.75,0.0
41,1,0.16,31.0,0.0
41,2,0.2,36.25,0.0
42,0,2.145,89.5,0.0
42,1,0.15500000000000003,30.5,0.0
42,2,0.2725,63.0,0.0
43,0,2.1525,99.75,0.0
43,1,0.14500000000000002,28.5,0.0
43,2,0.2,51.5,0.0
44,0,2.1500000000000004,96.0,0.0
44,1,0.16,30.5,0.0
44,2,0.25,60.25,0.0
45,0,2.14,94.5,0.0
45,1,0.195,37.0,0.0
45,2,0.21000000000000002,34.5,0.0
46,0,2.1500000000000004,89.5,0.0
46,1,0.15000000000000002,29.5,0.0
46,2,0.2375,41.5,0.0
47,0,2.1625,93.25,0.0
47,1,0.16,31.5,0.0
47,2,0.23,49.25,38.25
48,0,2.1500000000000004,113.5,154.75
48,1,0.15000000000000002,29.0,0.0
48,2,0.275,55.0,0.0
49,0,2.1500000000000004,101.25,19.0
49,1,0.18,35.0,0.0
49,2,0.235,41.5,0.0
50,0,2.14,89.25,0.0
50,1,0.175,33.5,0.0
50,2,0.23500000000000001,58.75,0.0
51,0,2.1500000000000004,102.25,0.0
51,1,0.19,36.5,0.0
51,2,0.21,39.75,39.5
52,0,2.1500000000000004,101.5,366.5
52,1,0.20500000000000002,39.0,0.0
52,2,0.195,44.5,0.0
53,0,2.1375,106.0,983.5
53,1,0.18,34.5,0.0
53,2,0.20500000000000002,49.5,0.0
54,0,2.1475,101.5,0.0
54,1,0.14,28.0,0.0
54,2,0.2325,46.5,17.25
55,0,2.1500000000000004,90.0,0.0
55,1,0.185,36.0,0.0
55,2,0.26,52.25,0.0
56,0,2.1475,100.5,125.75
56,1,0.165,32.0,0.0
56,2,0.195,38.5,0.0
57,0,2.1475,89.5,0.0
57,1,0.15,29.0,0.0
57,2,0.22,38.5,0.0
58,0,2.1475,95.75,144.25
58,1,0.16999999999999998,33.0,0.0
58,2,0.245,69.0,39.5
59,0,2.135,100.75,0.0
59,1,0.18,35.0,0.0
59,2,0.21250000000000002,61.25,74.25
60,0,2.15,101.75,366.5
60,1,0.18,34.0,0.0
60,2,0.21000000000000002,39.75,0.0
61,0,2.1500000000000004,90.5,0.0
61,1,0.17,33.5,0.0
61,2,0.24,53.25,0.0
62,0,2.135,99.75,0.0
62,1,0.19,36.5,0.0
62,2,0.2375,56.0,0.0
63,0,2.175,92.75,0.0
63,1,0.15000000000000002,30.0,0.0
63,2,0.21500000000000002,38.0,0.0
64,0,2.1525,105.0,0.0
64,1,0.16999999999999998,32.5,0.0
64,2,0.275,58.75,0.0
65,0,2.1525,95.75,950.0
65,1,0.155,31.0,0.0
65,2,0.2575,47.5,39.5
66,0,2.1375,89.25,0.0
66,1,0.15000000000000002,29.5,0.0
66,2,0.185,33.5,4.0
67,0,2.1475,98.0,0.0
67,1,0.2,37.5,79.0
67,2,0.2475,47.75,0.0
68,0,2.1475,90.0,0.0
68,1,0.13,25.0,0.0
68,2,0.23750000000000002,47.0,0.0
69,0,2.1375,99.75,207.5
69,1,0.175,33.5,0.0
69,2,0.2225,62.5,8.0
70,0,2.1500000000000004,89.5,366.5
