timestep,decision,prb_decision,policy_decision
1,"(6, 9, 35, 1, 0, 2)","[6, 9, 35]","[1, 0, 2]"
2,"(24, 15, 11, 2, 1, 1)","[24, 15, 11]","[2, 1, 1]"
3,"(36, 9, 5, 1, 2, 1)","[36, 9, 5]","[1, 2, 1]"
4,"(24, 15, 11, 2, 1, 1)","[24, 15, 11]","[2, 1, 1]"
5,"(24, 15, 11, 2, 0, 0)","[24, 15, 11]","[2, 0, 0]"
6,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
7,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
8,"(30, 9, 11, 1, 0, 1)","[30, 9, 11]","[1, 0, 1]"
9,"(24, 15, 11, 1, 0, 1)","[24, 15, 11]","[1, 0, 1]"
10,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
11,"(18, 9, 23, 2, 0, 0)","[18, 9, 23]","[2, 0, 0]"
12,"(18, 9, 23, 1, 1, 2)","[18, 9, 23]","[1, 1, 2]"
13,"(24, 15, 11, 0, 1, 0)","[24, 15, 11]","[0, 1, 0]"
14,"(30, 15, 5, 0, 0, 2)","[30, 15, 5]","[0, 0, 2]"
15,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
16,"(24, 21, 5, 0, 2, 1)","[24, 21, 5]","[0, 2, 1]"
17,"(30, 15, 5, 0, 1, 1)","[30, 15, 5]","[0, 1, 1]"
18,"(30, 15, 5, 2, 1, 2)","[30, 15, 5]","[2, 1, 2]"
19,"(30, 9, 11, 0, 1, 2)","[30, 9, 11]","[0, 1, 2]"
20,"(6, 9, 35, 1, 0, 1)","[6, 9, 35]","[1, 0, 1]"
21,"(30, 9, 11, 2, 1, 0)","[30, 9, 11]","[2, 1, 0]"
22,"(18, 15, 17, 1, 1, 1)","[18, 15, 17]","[1, 1, 1]"
23,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
24,"(36, 9, 5, 0, 0, 1)","[36, 9, 5]","[0, 0, 1]"
25,"(24, 15, 11, 1, 1, 0)","[24, 15, 11]","[1, 1, 0]"
26,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
27,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
28,"(30, 15, 5, 1, 2, 1)","[30, 15, 5]","[1, 2, 1]"
29,"(30, 15, 5, 2, 2, 1)","[30, 15, 5]","[2, 2, 1]"
30,"(30, 9, 11, 2, 1, 2)","[30, 9, 11]","[2, 1, 2]"
31,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
32,"(18, 15, 17, 1, 1, 2)","[18, 15, 17]","[1, 1, 2]"
33,"(30, 15, 5, 2, 0, 2)","[30, 15, 5]","[2, 0, 2]"
34,"(30, 15, 5, 2, 2, 1)","[30, 15, 5]","[2, 2, 1]"
35,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
36,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
37,"(30, 15, 5, 1, 0, 2)","[30, 15, 5]","[1, 0, 2]"
38,"(18, 9, 23, 1, 1, 2)","[18, 9, 23]","[1, 1, 2]"
39,"(18, 15, 17, 2, 1, 0)","[18, 15, 17]","[2, 1, 0]"
40,"(24, 15, 11, 0, 1, 2)","[24, 15, 11]","[0, 1, 2]"
41,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
42,"(30, 9, 11, 1, 2, 1)","[30, 9, 11]","[1, 2, 1]"
43,"(36, 9, 5, 0, 1, 2)","[36, 9, 5]","[0, 1, 2]"
44,"(30, 15, 5, 0, 2, 0)","[30, 15, 5]","[0, 2, 0]"
45,"(18, 9, 23, 1, 2, 0)","[18, 9, 23]","[1, 2, 0]"
46,"(36, 9, 5, 0, 2, 2)","[36, 9, 5]","[0, 2, 2]"
47,"(24, 21, 5, 0, 1, 0)","[24, 21, 5]","[0, 1, 0]"
48,"(12, 15, 23, 2, 2, 1)","[12, 15, 23]","[2, 2, 1]"
49,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
50,"(36, 9, 5, 1, 0, 2)","[36, 9, 5]","[1, 0, 2]"
51,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
52,"(36, 9, 5, 0, 2, 2)","[36, 9, 5]","[0, 2, 2]"
53,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
54,"(18, 9, 23, 0, 2, 2)","[18, 9, 23]","[0, 2, 2]"
55,"(30, 15, 5, 0, 2, 0)","[30, 15, 5]","[0, 2, 0]"
56,"(36, 9, 5, 1, 1, 0)","[36, 9, 5]","[1, 1, 0]"
57,"(24, 15, 11, 2, 2, 2)","[24, 15, 11]","[2, 2, 2]"
58,"(24, 15, 11, 1, 0, 2)","[24, 15, 11]","[1, 0, 2]"
59,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
60,"(24, 21, 5, 1, 1, 2)","[24, 21, 5]","[1, 1, 2]"
61,"(24, 15, 11, 0, 0, 2)","[24, 15, 11]","[0, 0, 2]"
62,"(18, 9, 23, 0, 2, 2)","[18, 9, 23]","[0, 2, 2]"
63,"(18, 15, 17, 0, 1, 2)","[18, 15, 17]","[0, 1, 2]"
64,"(18, 9, 23, 0, 2, 2)","[18, 9, 23]","[0, 2, 2]"
65,"(36, 9, 5, 0, 1, 0)","[36, 9, 5]","[0, 1, 0]"
66,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
67,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
68,"(30, 15, 5, 0, 2, 1)","[30, 15, 5]","[0, 2, 1]"
69,"(36, 9, 5, 0, 2, 1)","[36, 9, 5]","[0, 2, 1]"
70,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
71,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
72,"(30, 9, 11, 0, 0, 1)","[30, 9, 11]","[0, 0, 1]"
73,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
74,"(30, 15, 5, 2, 1, 0)","[30, 15, 5]","[2, 1, 0]"
75,"(24, 15, 11, 2, 2, 0)","[24, 15, 11]","[2, 2, 0]"
76,"(36, 9, 5, 2, 1, 2)","[36, 9, 5]","[2, 1, 2]"
77,"(18, 15, 17, 0, 1, 0)","[18, 15, 17]","[0, 1, 0]"
78,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
79,"(36, 9, 5, 1, 2, 1)","[36, 9, 5]","[1, 2, 1]"
80,"(30, 9, 11, 2, 1, 2)","[30, 9, 11]","[2, 1, 2]"
81,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
82,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
83,"(12, 15, 23, 0, 1, 0)","[12, 15, 23]","[0, 1, 0]"
84,"(18, 15, 17, 1, 2, 1)","[18, 15, 17]","[1, 2, 1]"
85,"(36, 9, 5, 0, 2, 1)","[36, 9, 5]","[0, 2, 1]"
86,"(30, 15, 5, 0, 0, 2)","[30, 15, 5]","[0, 0, 2]"
87,"(30, 15, 5, 0, 1, 0)","[30, 15, 5]","[0, 1, 0]"
88,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
89,"(36, 9, 5, 2, 0, 2)","[36, 9, 5]","[2, 0, 2]"
90,"(30, 15, 5, 0, 1, 1)","[30, 15, 5]","[0, 1, 1]"
