timestep,decision,prb_decision,policy_decision
1,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
2,"(18, 9, 23, 1, 2, 0)","[18, 9, 23]","[1, 2, 0]"
3,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
4,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
5,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
6,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
7,"(24, 21, 5, 2, 0, 0)","[24, 21, 5]","[2, 0, 0]"
8,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
9,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
10,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
11,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
12,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
13,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
14,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
15,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
16,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
17,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
18,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
19,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
20,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
21,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
22,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
23,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
24,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
25,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
26,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
27,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
28,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
29,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
30,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
31,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
32,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
33,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
34,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
35,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
36,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
37,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
38,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
39,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
40,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
41,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
42,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
43,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
44,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
45,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
46,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
47,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
48,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
49,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
50,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
51,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
52,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
53,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
54,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
55,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
56,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
57,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
58,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
59,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
60,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
61,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
62,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
63,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
64,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
65,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
66,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
67,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
68,"(18, 9, 23, 2, 0, 0)","[18, 9, 23]","[2, 0, 0]"
69,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
70,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
71,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
72,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
73,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
74,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
75,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
76,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
77,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
78,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
79,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
80,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
81,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
82,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
83,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
84,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
85,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
86,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
87,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
88,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
89,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
90,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
91,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
92,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
93,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
94,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
95,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
96,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
97,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
98,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
99,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
100,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
101,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
102,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
103,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
104,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
105,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
106,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
107,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
108,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
109,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
110,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
111,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
112,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
113,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
114,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
115,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
116,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
117,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
118,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
119,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
120,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
121,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
