timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,2.0,0.0
1,1,0.0,4.0,0.0
1,2,0.0,4.5,0.0
2,0,0.0,1.0,0.0
2,1,0.0,1.0,0.0
2,2,0.005,6.0,0.0
3,0,2.135,216.0,477.0
3,1,0.14500000000000002,28.0,0.0
3,2,0.20500000000000002,44.5,0.0
4,0,2.115,183.0,22.5
4,1,0.19,32.5,0.0
4,2,0.25,41.0,0.0
5,0,2.0599999999999996,189.0,330.5
5,1,0.19,33.0,0.0
5,2,0.10250000000000001,19.25,0.0
6,0,2.135,169.0,389.0
6,1,0.13,25.0,79.0
6,2,0.20750000000000002,41.25,0.0
7,0,2.1399999999999997,127.0,366.5
7,1,0.16,38.0,0.0
7,2,0.26,52.5,0.0
8,0,2.1399999999999997,133.0,0.0
8,1,0.2,45.0,0.0
8,2,0.23,59.25,0.0
9,0,2.13,228.0,389.0
9,1,0.16999999999999998,31.5,79.0
9,2,0.245,46.25,0.0
10,0,2.135,210.0,215.0
10,1,0.16,29.5,157.5
10,2,0.2025,77.25,0.0
11,0,2.125,209.5,121.0
11,1,0.17,31.0,0.0
11,2,0.255,67.75,0.0
12,0,2.125,227.0,110.5
12,1,0.16,34.5,0.0
12,2,0.2,56.25,56.75
13,0,2.12,214.5,366.5
13,1,0.14,25.5,0.0
13,2,0.2575,93.0,0.0
14,0,2.125,211.0,477.0
14,1,0.19,31.5,79.0
14,2,0.2425,85.75,59.5
15,0,2.145,219.0,110.5
15,1,0.15000000000000002,35.5,0.0
15,2,0.2425,58.75,0.0
16,0,2.11,207.5,420.0
16,1,0.21500000000000002,60.5,0.0
16,2,0.22499999999999998,64.75,0.0
17,0,2.13,207.0,393.0
17,1,0.185,35.5,0.0
17,2,0.2425,65.75,0.0
18,0,2.255,217.0,525.0
18,1,0.165,29.0,0.0
18,2,0.22,59.25,0.0
19,0,2.15,214.0,163.0
19,1,0.16,37.5,102.5
19,2,0.225,56.0,0.0
20,0,2.24,140.0,366.5
20,1,0.16999999999999998,32.0,0.0
20,2,0.28,60.0,0.0
21,0,2.1399999999999997,101.5,0.0
