timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q1)","inc(DTUr, MAX)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, NaN, 75)",0.719
2,0,"[0, 1, 2, 4]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[0, 1, 2], [4]]","[[0, 1, 2, 5, 6], [3, 4]]","dec(G0, NaN, 75)",0.603
3,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2, 4], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, Q1, 50)",0.581
3,1,"[3, 5, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[3, 5, 6], []]","[[2, 3, 4, 5, 6], [0, 1]]","inc(G1, Q2, 100)",0.581
4,0,"[0, 1, 4]","const(MSEUr, Q3)","dec(DTUr, Q3)","[[0], [1, 4]]","[[0, 2, 5, 6], [1, 3, 4]]","dec(G0, Q1, 25)",0.538
4,1,"[2, 3, 5, 6]","dec(MSEUr, Q4)","inc(DTUr, MAX)","[[2, 5, 6], [3]]","[[0, 2, 5, 6], [1, 3, 4]]","const(G1, Q3, 75)",0.538
5,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[1, 2, 4], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, Q3, 75)",0.635
5,1,"[3, 5, 6]","inc(MSEUr, Q4)","inc(DTUr, Q4)","[[3, 5, 6], []]","[[1, 2, 3, 4, 5, 6], [0]]","const(G1, Q2, 100)",0.635
6,0,"[0, 1, 4]","const(MSEUr, Q3)","const(DTUr, Q3)","[[0, 4], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","dec(G0, Q2, 75)",0.639
6,1,"[2, 3, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[2, 3, 5, 6], []]","[[0, 2, 3, 4, 5, 6], [1]]","inc(G1, Q3, 100)",0.639
7,0,"[0, 1, 4]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[0, 1, 4], []]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q3, 100)",0.646
7,1,"[2, 3, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[2, 3, 5], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","dec(G1, Q2, 75)",0.646
8,0,"[0, 1, 4]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[0, 4], [1]]","[[0, 2, 4, 5, 6], [1, 3]]","dec(G0, Q2, 75)",0.609
8,1,"[2, 3, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[2, 5, 6], [3]]","[[0, 2, 4, 5, 6], [1, 3]]","const(G1, Q3, 75)",0.609
9,0,"[0, 1, 2, 4]","const(MSEUr, Q2)","inc(DTUr, Q4)","[[1, 2, 4], [0]]","[[1, 2, 4], [0, 3, 5, 6]]","inc(G0, Q3, 75)",0.684
9,1,"[3, 5, 6]","inc(MSEUr, Q4)","inc(DTUr, Q4)","[[], [3, 5, 6]]","[[1, 2, 4], [0, 3, 5, 6]]","dec(G1, Q1, 0)",0.684
