timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","inc(DTUr, MAX)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","const(G0, NaN, 100)",0.935
2,0,"[0, 1, 2, 3, 6]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[1, 2, 3, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","dec(G0, NaN, 75)",0.685
3,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[1, 2, 3, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","const(G0, Q1, 75)",0.679
3,1,"[4, 5]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[4, 5], []]","[[1, 2, 3, 4, 5, 6], [0]]","const(G1, Q1, 100)",0.679
4,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[0, 2, 3], [1, 6]]","[[0, 2, 3, 5], [1, 4, 6]]","dec(G0, Q2, 50)",0.614
4,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[5], [4]]","[[0, 2, 3, 5], [1, 4, 6]]","dec(G1, Q1, 50)",0.614
5,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 3], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q2, 75)",0.685
5,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[4, 5], []]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G1, Q1, 100)",0.685
6,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2, 3, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, Q2, 50)",0.642
6,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[4, 5], []]","[[2, 3, 4, 5, 6], [0, 1]]","const(G1, Q2, 100)",0.642
7,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 3, 6], []]","[[0, 1, 2, 3, 5, 6], [4]]","inc(G0, Q3, 100)",0.676
7,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[5], [4]]","[[0, 1, 2, 3, 5, 6], [4]]","dec(G1, Q1, 50)",0.676
8,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 3, 6], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","dec(G0, Q3, 75)",0.682
8,1,"[4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[4, 5], []]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G1, Q2, 100)",0.682
9,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 2, 6], [1, 3]]","[[0, 2, 4, 5, 6], [1, 3]]","dec(G0, Q2, 50)",0.657
9,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4, 5], []]","[[0, 2, 4, 5, 6], [1, 3]]","const(G1, Q2, 100)",0.657
10,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 3], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q3, 75)",0.69
10,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4, 5], []]","[[0, 1, 2, 3, 4, 5], [6]]","const(G1, Q2, 100)",0.69
11,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 3, 6], [1, 2]]","[[0, 3, 4, 5, 6], [1, 2]]","dec(G0, Q2, 50)",0.655
11,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4, 5], []]","[[0, 3, 4, 5, 6], [1, 2]]","const(G1, Q2, 100)",0.655
12,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","const(G0, Q3, 50)",0.645
12,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4, 5], []]","[[2, 3, 4, 5, 6], [0, 1]]","const(G1, Q1, 100)",0.645
13,0,"[0, 1, 2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 6], [0]]","[[1, 2, 3, 4, 6], [0, 5]]","inc(G0, Q3, 75)",0.65
13,1,"[4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4], [5]]","[[1, 2, 3, 4, 6], [0, 5]]","dec(G1, Q1, 50)",0.65
14,0,"[0, 2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[6], [0, 2, 3]]","[[4, 5, 6], [0, 1, 2, 3]]","dec(G0, Q1, 25)",0.581
