timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[1, 3], [0, 2, 4, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","dec(G0, NaN, 25)",0.435
2,0,"[0, 1, 2, 4]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[0, 2], [1, 4]]","[[0, 2, 3, 5], [1, 4, 6]]","const(G0, NaN, 50)",0.542
3,0,"[0, 1, 2]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[2], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, Q1, 25)",0.613
3,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 4, 5], []]","[[2, 3, 4, 5, 6], [0, 1]]","inc(G1, Q3, 100)",0.613
4,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 4]]","[[1, 3, 6], [0, 2, 4, 5]]","const(G0, Q1, 25)",0.55
4,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 6], [5]]","[[1, 3, 6], [0, 2, 4, 5]]","dec(G1, Q2, 75)",0.55
5,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 5], [0, 3, 4, 6]]","inc(G0, Q2, 50)",0.536
5,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], [3, 6]]","[[1, 2, 5], [0, 3, 4, 6]]","dec(G1, Q1, 25)",0.536
6,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4], [0, 1, 2]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 25)",0.514
6,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G1, Q1, 0)",0.514
7,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 4], [1, 2]]","[[0, 4, 5], [1, 2, 3, 6]]","inc(G0, Q3, 50)",0.565
7,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5], [3, 6]]","[[0, 4, 5], [1, 2, 3, 6]]","inc(G1, Q1, 25)",0.565
8,0,"[0, 1, 2]","inc(MSEUr, Q4)","const(DTUr, Q4)","[[2], [0, 1]]","[[2, 4, 5, 6], [0, 1, 3]]","dec(G0, Q2, 25)",0.6
8,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[4, 5], [3]]","[[2, 4, 5, 6], [0, 1, 3]]","inc(G1, Q3, 75)",0.6
8,2,[6],"const(MSEUr, Q3)","inc(DTUr, Q2)","[[6], []]","[[2, 4, 5, 6], [0, 1, 3]]","const(G2, Q2, 100)",0.6
9,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G0, Q3, 50)",0.593
9,1,"[3, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[5, 6], [3]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G1, Q3, 75)",0.593
10,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0], [1, 2, 4]]","[[0, 6], [1, 2, 3, 4, 5]]","dec(G0, Q1, 25)",0.545
10,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[6], [3, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","dec(G1, Q1, 25)",0.545
11,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 4]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.561
11,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [3, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.561
12,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 4, 5, 6], [2, 3]]","inc(G0, Q4, 75)",0.656
12,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5, 6], [3]]","[[0, 1, 4, 5, 6], [2, 3]]","inc(G1, Q4, 75)",0.656
13,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 5], [0, 3, 4, 6]]","dec(G0, Q3, 50)",0.574
13,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], [3, 6]]","[[1, 2, 5], [0, 3, 4, 6]]","dec(G1, Q2, 25)",0.574
14,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 3, 5, 6], [0, 4]]","const(G0, Q3, 50)",0.64
14,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 5, 6], []]","[[1, 2, 3, 5, 6], [0, 4]]","inc(G1, Q4, 100)",0.64
15,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G0, Q3, 50)",0.601
15,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5, 6], [3]]","[[1, 2, 5, 6], [0, 3, 4]]","dec(G1, Q3, 75)",0.601
16,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 4], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G0, Q4, 100)",0.728
16,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G1, Q4, 100)",0.728
17,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 4]]","[[1, 3, 5, 6], [0, 2, 4]]","dec(G0, Q1, 25)",0.602
17,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5, 6], []]","[[1, 3, 5, 6], [0, 2, 4]]","const(G1, Q4, 100)",0.602
