timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[0, 4, 6], [1, 2, 3, 5]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G0, NaN, 50)",0.499
2,0,"[0, 1, 2, 4]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[1, 2, 4], [0]]","[[1, 2, 3, 4], [0, 5, 6]]","const(G0, NaN, 75)",0.468
3,0,"[0, 1, 2]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[0], [1, 2]]","[[0, 3], [1, 2, 4, 5, 6]]","dec(G0, Q1, 25)",0.453
3,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3], [4, 5]]","[[0, 3], [1, 2, 4, 5, 6]]","const(G1, Q1, 25)",0.453
4,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 4], [0, 2]]","[[1, 4, 5], [0, 2, 3, 6]]","inc(G0, Q2, 50)",0.501
4,1,"[3, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q3)","[[5], [3, 6]]","[[1, 4, 5], [0, 2, 3, 6]]","const(G1, Q1, 25)",0.501
5,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[3, 6], [0, 1, 2, 4, 5]]","dec(G0, Q1, 0)",0.569
5,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[3, 6], [5]]","[[3, 6], [0, 1, 2, 4, 5]]","inc(G1, Q2, 75)",0.569
6,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 4], [0]]","[[1, 2, 4, 5, 6], [0, 3]]","inc(G0, Q4, 75)",0.618
6,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5, 6], [3]]","[[1, 2, 4, 5, 6], [0, 3]]","const(G1, Q3, 75)",0.618
7,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[3, 6], [0, 1, 2, 4, 5]]","dec(G0, Q1, 0)",0.564
7,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 6], [5]]","[[3, 6], [0, 1, 2, 4, 5]]","const(G1, Q2, 75)",0.564
8,0,"[0, 1, 2]","inc(MSEUr, Q4)","dec(DTUr, Q3)","[[1], [0, 2]]","[[1, 4], [0, 2, 3, 5, 6]]","inc(G0, Q2, 25)",0.476
8,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4], [3, 5]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G1, Q2, 25)",0.476
8,2,[6],"const(MSEUr, Q3)","inc(DTUr, MAX)","[[], [6]]","[[1, 4], [0, 2, 3, 5, 6]]","const(G2, Q1, 0)",0.476
9,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 4], [0, 2]]","[[1, 4, 5, 6], [0, 2, 3]]","inc(G0, Q3, 50)",0.558
9,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5, 6], [3]]","[[1, 4, 5, 6], [0, 2, 3]]","inc(G1, Q4, 75)",0.558
10,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 3, 4], [2, 5, 6]]","inc(G0, Q4, 75)",0.562
10,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3], [5, 6]]","[[0, 1, 3, 4], [2, 5, 6]]","dec(G1, Q2, 25)",0.562
11,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 3, 5, 6], [0, 4]]","dec(G0, Q3, 50)",0.597
11,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5, 6], []]","[[1, 2, 3, 5, 6], [0, 4]]","inc(G1, Q4, 100)",0.597
