timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","const(G0, NaN, 75)",0.84
2,0,"[0, 1, 2, 4]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[2], [0, 1, 4]]","[[2, 6], [0, 1, 3, 4, 5]]","dec(G0, NaN, 25)",0.505
3,0,"[0, 1, 2]","const(MSEUr, Q4)","const(DTUr, Q4)","[[], [0, 1, 2]]","[[3, 4, 5, 6], [0, 1, 2]]","dec(G0, Q1, 0)",0.562
3,1,"[3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 4, 5], []]","[[3, 4, 5, 6], [0, 1, 2]]","inc(G1, Q2, 100)",0.562
4,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 4]]","[[1], [0, 2, 3, 4, 5, 6]]","inc(G0, Q1, 25)",0.51
4,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[], [3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.51
5,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[1, 4], [0, 2]]","[[1, 4, 6], [0, 2, 3, 5]]","inc(G0, Q2, 50)",0.537
5,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[1, 4, 6], [0, 2, 3, 5]]","inc(G1, Q1, 25)",0.537
6,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[2], [0, 1, 4]]","[[2, 3], [0, 1, 4, 5, 6]]","dec(G0, Q1, 25)",0.499
6,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3], [5, 6]]","[[2, 3], [0, 1, 4, 5, 6]]","const(G1, Q1, 25)",0.499
7,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q3)","[[2, 4], [0, 1]]","[[2, 4], [0, 1, 3, 5, 6]]","inc(G0, Q3, 50)",0.578
7,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [3, 5, 6]]","[[2, 4], [0, 1, 3, 5, 6]]","dec(G1, Q1, 0)",0.578
8,0,"[0, 1, 2]","inc(MSEUr, Q4)","inc(DTUr, Q3)","[[1, 2], [0]]","[[1, 2, 4, 5], [0, 3, 6]]","const(G0, Q3, 75)",0.553
8,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[4, 5], [3]]","[[1, 2, 4, 5], [0, 3, 6]]","inc(G1, Q3, 75)",0.553
8,2,[6],"const(MSEUr, Q3)","inc(DTUr, MAX)","[[], [6]]","[[1, 2, 4, 5], [0, 3, 6]]","dec(G2, Q1, 0)",0.553
9,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 4]]","[[2, 3, 5, 6], [0, 1, 4]]","dec(G0, Q1, 25)",0.561
