timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, MAX)","[[1, 2, 3, 4, 5, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, NaN, 75)",0.758
2,0,"[0, 1, 2, 4]","inc(MSEUr, MAX)","inc(DTUr, MAX)","[[1, 4], [0, 2]]","[[1, 3, 4], [0, 2, 5, 6]]","dec(G0, NaN, 50)",0.471
3,0,"[0, 1, 2]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[0], [1, 2]]","[[0, 3, 4, 6], [1, 2, 5]]","dec(G0, Q1, 25)",0.539
3,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 4], [5]]","[[0, 3, 4, 6], [1, 2, 5]]","inc(G1, Q3, 75)",0.539
4,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 2], [1, 4]]","[[0, 2, 5], [1, 3, 4, 6]]","inc(G0, Q3, 50)",0.559
4,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], [3, 6]]","[[0, 2, 5], [1, 3, 4, 6]]","dec(G1, Q1, 25)",0.559
5,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G0, Q3, 50)",0.574
5,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5, 6], [3]]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G1, Q3, 75)",0.574
6,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 2, 4], []]","[[0, 1, 2, 4], [3, 5, 6]]","inc(G0, Q4, 100)",0.818
6,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [3, 5, 6]]","[[0, 1, 2, 4], [3, 5, 6]]","dec(G1, Q1, 0)",0.818
7,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[0, 1, 2], [4]]","[[0, 1, 2], [3, 4, 5, 6]]","dec(G0, Q3, 75)",0.688
7,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [3, 5, 6]]","[[0, 1, 2], [3, 4, 5, 6]]","const(G1, Q1, 0)",0.688
8,0,"[0, 1, 2]","inc(MSEUr, Q4)","inc(DTUr, MAX)","[[0, 1], [2]]","[[0, 1, 5], [2, 3, 4, 6]]","dec(G0, Q2, 75)",0.535
8,1,"[3, 4, 5]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], [3, 4]]","[[0, 1, 5], [2, 3, 4, 6]]","inc(G1, Q2, 25)",0.535
8,2,[6],"const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [6]]","[[0, 1, 5], [2, 3, 4, 6]]","dec(G2, Q1, 0)",0.535
9,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[3, 5], [0, 1, 2, 4, 6]]","dec(G0, Q1, 0)",0.604
9,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q3)","[[3, 5], [6]]","[[3, 5], [0, 1, 2, 4, 6]]","inc(G1, Q3, 75)",0.604
10,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 4], [1, 2]]","[[0, 4, 5], [1, 2, 3, 6]]","inc(G0, Q3, 50)",0.57
10,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], [3, 6]]","[[0, 4, 5], [1, 2, 3, 6]]","dec(G1, Q2, 25)",0.57
11,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 4]]","[[1, 3, 6], [0, 2, 4, 5]]","dec(G0, Q2, 25)",0.56
11,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q3)","[[3, 6], [5]]","[[1, 3, 6], [0, 2, 4, 5]]","inc(G1, Q3, 75)",0.56
12,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 4]]","[[1, 3, 6], [0, 2, 4, 5]]","const(G0, Q2, 25)",0.558
12,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 6], [5]]","[[1, 3, 6], [0, 2, 4, 5]]","const(G1, Q3, 75)",0.558
13,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2], [1, 4]]","[[0, 2, 3, 5], [1, 4, 6]]","inc(G0, Q3, 50)",0.614
13,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5], [6]]","[[0, 2, 3, 5], [1, 4, 6]]","const(G1, Q3, 75)",0.614
14,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 4], [0]]","[[1, 2, 3, 4, 5], [0, 6]]","inc(G0, Q4, 75)",0.634
14,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5], [6]]","[[1, 2, 3, 4, 5], [0, 6]]","const(G1, Q3, 75)",0.634
15,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2, 4], [0, 1]]","[[2, 3, 4], [0, 1, 5, 6]]","dec(G0, Q3, 50)",0.557
15,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3], [5, 6]]","[[2, 3, 4], [0, 1, 5, 6]]","dec(G1, Q1, 25)",0.557
16,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 4], []]","[[0, 1, 2, 4, 6], [3, 5]]","inc(G0, Q4, 100)",0.647
16,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[0, 1, 2, 4, 6], [3, 5]]","const(G1, Q1, 25)",0.647
17,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 4]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.522
17,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.522
18,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 4]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G0, Q1, 25)",0.537
18,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q3)","[[5], [3, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","inc(G1, Q1, 25)",0.537
19,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 4], [1]]","[[0, 2, 4, 6], [1, 3, 5]]","inc(G0, Q4, 75)",0.628
19,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q3)","[[6], [3, 5]]","[[0, 2, 4, 6], [1, 3, 5]]","const(G1, Q2, 25)",0.628
20,0,"[0, 1, 2]","inc(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1], [2]]","[[0, 1, 5, 6], [2, 3, 4]]","dec(G0, Q3, 75)",0.628
20,1,"[3, 4, 5]","dec(MSEUr, Q2)","inc(DTUr, Q4)","[[5], [3, 4]]","[[0, 1, 5, 6], [2, 3, 4]]","const(G1, Q2, 25)",0.628
20,2,[6],"const(MSEUr, Q4)","inc(DTUr, Q3)","[[6], []]","[[0, 1, 5, 6], [2, 3, 4]]","inc(G2, Q2, 100)",0.628
21,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 4], [0, 1]]","[[2, 4, 6], [0, 1, 3, 5]]","const(G0, Q3, 50)",0.573
21,1,"[3, 5, 6]","inc(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[2, 4, 6], [0, 1, 3, 5]]","const(G1, Q1, 25)",0.573
22,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 4], [0, 1]]","[[2, 3, 4, 6], [0, 1, 5]]","const(G0, Q3, 50)",0.612
22,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 6], [5]]","[[2, 3, 4, 6], [0, 1, 5]]","inc(G1, Q3, 75)",0.612
23,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 3, 4, 5], [2, 6]]","inc(G0, Q4, 75)",0.653
23,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5], [6]]","[[0, 1, 3, 4, 5], [2, 6]]","const(G1, Q4, 75)",0.653
24,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G0, Q4, 75)",0.629
24,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","dec(G1, Q1, 25)",0.629
25,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 3, 4, 5], [2, 6]]","const(G0, Q4, 75)",0.656
25,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 5], [6]]","[[0, 1, 3, 4, 5], [2, 6]]","inc(G1, Q3, 75)",0.656
26,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 4], [0]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G0, Q4, 75)",0.641
26,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 6], [5]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G1, Q3, 75)",0.641
27,0,"[0, 1, 2]","inc(MSEUr, Q4)","const(DTUr, Q4)","[[0], [1, 2]]","[[0, 4], [1, 2, 3, 5, 6]]","dec(G0, Q1, 25)",0.557
27,1,"[3, 4, 5]","dec(MSEUr, Q2)","inc(DTUr, Q4)","[[4], [3, 5]]","[[0, 4], [1, 2, 3, 5, 6]]","dec(G1, Q1, 25)",0.557
27,2,[6],"const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [6]]","[[0, 4], [1, 2, 3, 5, 6]]","dec(G2, Q1, 0)",0.557
28,0,"[0, 1, 4]","dec(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4], []]","[[0, 1, 4], [2, 3, 5, 6]]","inc(G0, Q4, 100)",0.778
28,1,"[2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [2, 3, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","dec(G1, Q1, 0)",0.778
28,2,[5],"const(MSEUr, Q3)","dec(DTUr, Q4)","[[], [5]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G2, Q1, 0)",0.778
29,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 4]]","[[2, 6], [0, 1, 3, 4, 5]]","dec(G0, Q2, 25)",0.538
29,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[2, 6], [0, 1, 3, 4, 5]]","inc(G1, Q2, 25)",0.538
30,0,"[0, 1, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 4]]","[[0, 2, 5], [1, 3, 4, 6]]","const(G0, Q2, 25)",0.585
30,1,"[2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [3, 6]]","[[0, 2, 5], [1, 3, 4, 6]]","const(G1, Q2, 25)",0.585
30,2,[5],"const(MSEUr, Q3)","const(DTUr, Q4)","[[5], []]","[[0, 2, 5], [1, 3, 4, 6]]","inc(G2, Q2, 100)",0.585
31,0,"[0, 1, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 4], [1]]","[[0, 4, 6], [1, 2, 3, 5]]","inc(G0, Q3, 75)",0.584
31,1,"[2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [2, 3]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G1, Q2, 25)",0.584
31,2,[5],"const(MSEUr, Q3)","const(DTUr, Q4)","[[], [5]]","[[0, 4, 6], [1, 2, 3, 5]]","dec(G2, Q1, 0)",0.584
32,0,"[0, 1, 2, 3, 4, 5]","inc(MSEUr, Q4)","dec(DTUr, Q4)","[[0, 3, 5], [1, 2, 4]]","[[0, 3, 5, 6], [1, 2, 4]]","inc(G0, Q4, 50)",0.615
