timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, MAX)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, NaN, 25)",0.524
2,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","inc(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, NaN, 25)",0.491
3,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.45
4,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.411
5,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.428
6,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.437
7,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.406
8,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.379
9,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.353
10,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.331
11,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.311
12,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.295
13,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.304
14,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.29
15,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.307
16,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.31
