agent_name,dataset,speed,as_mode,mean,std,min,25%,50%,75%,max,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
SACG,NLOS,HS,non,2004.126,7.68314786471749,1993.785,1999.7465,2002.721,2006.03275,2020.032,2006.212,2020.032,2001.322,1999.492,1997.38,2012.9120000000005,2004.12,1993.785,2000.51,2005.495
SACG,NLOS,HS,0,2236.4766,32.17073071805087,2179.315,2230.494,2238.3315,2261.4845,2271.1810000000005,2185.849,2252.687,2228.986,2239.601,2237.062,2271.1810000000005,2179.315,2270.65,2235.018,2264.417
SACG,NLOS,HS,25,2177.2743,14.085996466546272,2147.826,2169.459,2182.526,2185.318,2197.45,2181.979,2185.949,2165.175,2147.826,2187.018,2183.073,2168.494,2172.354,2197.45,2183.425
SACG,NLOS,HS,50,2136.09,12.450453066276516,2113.064,2129.7915,2137.732,2145.7,2150.904,2150.904,2145.9259999999995,2144.82,2123.1800000000003,2145.022,2147.196,2113.064,2130.644,2129.511,2130.633
SACG,NLOS,HS,75,2072.9588000000003,7.706515004274669,2061.182,2068.225,2072.227,2075.605,2085.927,2076.019,2084.353,2068.492,2061.182,2068.136,2085.927,2071.098,2066.6620000000003,2073.356,2074.363
SACG,NLOS,HS,METIS,2005.2142,6.423093297711155,1997.2490000000005,2000.1889999999987,2004.063999999997,2009.902500000001,2016.554999999996,2000.8670000000045,1999.9629999999968,2016.554999999996,2005.230999999996,2002.8969999999983,1997.2490000000005,2010.708000000001,1998.819000000004,2007.486000000001,2012.3670000000031
DQN,NLOS,HS,METIS,2279.8644000000013,0.5951388633471041,2278.8250000000016,2279.615000000001,2279.940499999998,2280.014000000002,2280.8160000000025,2280.58,2278.8250000000016,2279.138000000004,2280.8160000000025,2279.8549999999973,2279.993000000004,2279.9610000000007,2280.021000000001,2279.5350000000026,2279.9199999999946
SACG,NLOS,HS,METIS,2005.2142,6.423093297711155,1997.2490000000005,2000.1889999999987,2004.063999999997,2009.902500000001,2016.554999999996,2000.8670000000045,1999.9629999999968,2016.554999999996,2005.230999999996,2002.8969999999983,1997.2490000000005,2010.708000000001,1998.819000000004,2007.486000000001,2012.3670000000031
DQN,NLOS,HS,METIS,2279.8644000000013,0.595138863347104,2278.8250000000016,2279.615000000001,2279.940499999998,2280.014000000002,2280.8160000000025,2280.58,2278.8250000000016,2279.138000000004,2280.8160000000025,2279.8549999999973,2279.993000000004,2279.9610000000007,2280.021000000001,2279.5350000000026,2279.9199999999946
DQN,NLOS,HS,non,,,,,,,,,,,,,,,,,
DQN,NLOS,HS,25,,,,,,,,,,,,,,,,,
DQN,NLOS,HS,50,,,,,,,,,,,,,,,,,
DQN,NLOS,HS,75,,,,,,,,,,,,,,,,,
